"index","product_name_en","coicop_1","coicop_2","coicop_3"
1,"Stationery, stationery supplies, giftwrap",9,5,4
2,"Mortgage payment including coop",13,0,0
3,"Water pump",4,4,1
4,"Tire, inner tube for bicycle or motorcycle",7,2,1
5,"Fire/extended coverage insurance",12,5,1
6,"Pasta, cornmeal and other cereal products",1,1,1
7,"Mail expenses (stamps, pa",8,1,0
8,"Refreshments",11,1,1
9,"Telephone and fax service",8,3,0
10,"Mobile phone",8,2,0
11,"Maintenance of property, including items such as ceiling repair, black top, brick, or masonry work, air conditioner repair, roof and awning repair, house painting, papering, chimney cleaning, electrical inspection, furnace inspection and repair, wiring, p",4,3,2
12,"Payment on telephone calls by fixed and wireless telephone (user charge, cost of local and international calls and etc.)",8,3,0
13,"Ready-to-eat and cooked cereals",1,1,1
14,"Ginger (zanjabiil)",1,1,9
15,"Electricity",4,5,1
16,"Expenses on mobile telephone calls",8,3,0
17,"installation and subscription costs of land?line telephone equipment",8,2,0
18,"Gasoline",7,2,2
19,"Dry/ Smoked tilapia fish",1,1,3
20,"Fresh fish and shellfish",1,1,3
21,"Other fresh fish",1,1,3
22,"Cards or virtual recharge for mobile phones",8,3,0
23,"Utility - natural gas",4,5,2
24,"Internet connection from landline",8,3,0
25,"other sauce or sauce ned",1,1,9
26,"Eggs",1,1,4
27,"Telephone service, including public pay phones",8,3,0
28,"Traffic fines (including non-official payments)",13,0,0
29,"Satellite internet connection.",8,3,0
30,"Radio message and radio call service",8,3,0
31,"Card mobile phone",8,3,0
32,"Postage stamp, sending letters, postcards",8,1,0
33,"Other postal services",8,1,0
34,"Fixed telephone and fax equipment",8,2,0
35,"Mobile phone equipment: cell phone",8,2,0
36,"Mobile internet connection",8,3,0
37,"Data package recharge (mobile internet)",8,3,0
38,"Hypothetical box fee expense",13,0,0
39,"Frankfurters",1,1,2
40,"Fresh milk, all types",1,1,4
41,"BEVERAGE NOT SPECIFIED",0,0,0
42,"cordial",1,2,2
43,"tang asstd flavours",1,2,2
44,"Non-alcoholic beverages",1,2,0
45,"Imputed rent",4,2,1
46,"CULTURAL DRESS",3,1,2
47,"Water and sewerage maintenance",4,4,1
48,"Cost of coal",4,5,4
49,"Telephone expense for other home ownership",8,3,0
50,"Bathi phone (feature phone)",8,2,0
51,"freezer",5,3,1
52,"Candy and chewing gum",1,1,8
53,"Snacks and nonalcoholic beverages at full service restaurants",11,1,1
54,"Radio cassettes, tape and cassette tape recorder, electrophones",9,1,1
55,"Kongo bololo, Lemongrass leaf and other traditional",1,1,7
56,"Photographer service (development of film printing e",9,1,5
57,"Olives, pickles, relishes",1,1,9
58,"Cod, flounder, sole and haddock (fresh or frozen, uncooked)",1,1,3
59,"Lunch at fast food, take-out, delivery, concession stands, buffet and cafeteria (other than employer and school cafeteria)",11,1,1
60,"Wine",2,1,2
61,"Soaps and detergents",5,6,1
62,"Cleansing and toilet tissue, paper towels and napkins",5,6,1
63,"Hair care products",12,1,3
64,"Cuttle fish, Octopus, lobsters, Prawns, & alike seafood",1,1,3
65,"fresh or frozen mixed veges frozen",1,1,7
66,"Food And Non-Alcoholic Beverages - Food - Fish And Sea Food - 113022",1,1,3
67,"Clams, cockles, mussels, cholgas, scallops",1,1,3
68,"Meals based on fish",1,1,3
69,"Oral hygiene products, articles",12,1,3
70,"Cosmetics, perfume, bath preparations",12,1,3
71,"Lunch at employer and school cafeterias",11,1,2
72,"Dinner at full service restaurants",11,1,1
73,"Cable and satellite television services",8,3,0
